dtime,yaw,pitch,roll,q0,q1,q2,q3
"2021/10/15 09:02:12",-3.96620435144,-7.94617632765,0.550287832169,0.996999263763,0.00239007547498,-0.0694113895297,-0.034188657999
"2021/10/15 09:02:42",-3.96824072255,-7.944790552,0.561998988449,0.996999204159,0.00249115587212,-0.0694028735161,-0.0341993682086
"2021/10/15 09:03:13",-3.97067384347,-7.9119010579,0.570745355297,0.997018098831,0.00257579796016,-0.069119386375,-0.0342173539102
"2021/10/15 09:03:43",-3.97103386414,-7.91543160611,0.582047466976,0.997015595436,0.00267284037545,-0.0691534876823,-0.0342134386301
"2021/10/15 09:04:13",-3.97085504502,-7.91902351463,0.592977340933,0.99701321125,0.00276695005596,-0.0691879987717,-0.0342050492764
"2021/10/15 09:04:44",-3.97170711564,-7.96120630148,0.607943202772,0.996987223625,0.00288378703408,-0.0695594847202,-0.0342005975544
"2021/10/15 09:05:14",-3.97235392178,-7.98286640141,0.623095059433,0.996973514557,0.0030086140614,-0.0697524696589,-0.0341955460608
"2021/10/15 09:05:44",-3.9773640582,-8.04479171942,0.640232217885,0.996933937073,0.00313574378379,-0.0702964589,-0.034224383533
"2021/10/15 09:06:14",-3.97425969471,-8.11606943153,0.660958291214,0.996890604496,0.00329619576223,-0.0709226354957,-0.0341795645654
"2021/10/15 09:06:45",-3.97292356238,-8.11123637795,0.677163926946,0.996893525124,0.00343947997317,-0.0708853825927,-0.0341582633555
"2021/10/15 09:07:15",-3.97319519748,-8.12846643748,0.692355548234,0.99688231945,0.00356620806269,-0.0710398107767,-0.0341499522328
"2021/10/15 09:07:45",-3.97272990754,-8.121533195,0.7105994322,0.996886193752,0.0037273268681,-0.0709849148989,-0.0341351181269
"2021/10/15 09:08:16",-3.97157023934,-8.14594331578,0.732893505001,0.996870696545,0.00391453225166,-0.0712038651109,-0.0341093353927
"2021/10/15 09:08:46",-3.97048041016,-8.10631695331,0.748319945559,0.99689489603,0.00406151823699,-0.0708637014031,-0.0340933687985
"2021/10/15 09:09:16",-3.97142679537,-8.0386852082,0.762244397428,0.996935546398,0.00420274538919,-0.0702795162797,-0.0340983457863
"2021/10/15 09:09:47",-3.9722005033,-7.91738805518,0.77541024704,0.997008144855,0.00435390556231,-0.0692281872034,-0.0341066941619
"2021/10/15 09:10:17",-3.97535411479,-7.91327349569,0.785276918362,0.997009277344,0.00443910481408,-0.0691954493523,-0.0341285020113
"2021/10/15 09:10:47",-3.98073984725,-7.99682468504,0.789634418552,0.99695712328,0.0044481549412,-0.0699238553643,-0.0341659635305
"2021/10/15 09:11:17",-3.98091922184,-8.83522324503,0.718312900986,0.996424734592,0.00357074709609,-0.0771945863962,-0.034146681428
"2021/10/15 09:11:48",-3.93791176026,-10.8486258998,0.543002744392,0.994938373566,0.00146671873517,-0.0946359708905,-0.0337560810149
"2021/10/15 09:12:18",-3.85389301111,-13.0589833396,0.364401023724,0.992958784103,-0.00066608004272,-0.113755971193,-0.0330455340445
"2021/10/15 09:12:48",-3.72345359706,-15.2028225045,0.173516630632,0.990694403648,-0.00279735494405,-0.132259592414,-0.0320018194616
"2021/10/15 09:13:19",-3.54243467152,-17.4471080138,-0.0370171631932,0.987957775593,-0.00500697363168,-0.15158483386,-0.0306000560522
"2021/10/15 09:13:49",-3.32152778553,-19.6516456533,-0.256689997177,0.984903633595,-0.00715208053589,-0.170517519116,-0.0289386473596
"2021/10/15 09:14:19",-3.07209168679,-21.8789848405,-0.487740633452,0.981444776058,-0.00926443934441,-0.18959030509,-0.0271259378642
"2021/10/15 09:14:50",-2.76688724292,-24.2142625099,-0.746424611962,0.977418422699,-0.0114307114854,-0.20952090621,-0.0249715782702
"2021/10/15 09:15:20",-2.42600723642,-26.4001857551,-1.02454507467,0.973278224468,-0.0135364197195,-0.228107884526,-0.0226503554732
"2021/10/15 09:15:50",-2.03371761964,-28.4179854039,-1.34857218991,0.969135761261,-0.0157621875405,-0.245201438665,-0.0200906582177
"2021/10/15 09:16:21",-1.58150777529,-30.4199373701,-1.72414664628,0.964715242386,-0.0181373711675,-0.262102037668,-0.0172627866268
"2021/10/15 09:16:51",-1.09891159201,-32.4141508754,-2.11760278595,0.960001647472,-0.0204194635153,-0.27887904644,-0.0143642891198
"2021/10/15 09:17:21",-0.566483121775,-34.4570102828,-2.5454442297,0.954851329327,-0.0226783212274,-0.296001702547,-0.011299058795
"2021/10/15 09:17:51",0.0214348732673,-36.562044664,-3.01114788442,0.949203133583,-0.0248894691467,-0.31357434392,-0.00806408468634
"2021/10/15 09:18:22",0.692829489421,-38.7764563545,-3.53786600335,0.942886054516,-0.0271115936339,-0.331979125738,-0.00454678898677
"2021/10/15 09:18:52",1.41252480112,-40.9719102307,-4.09957052811,0.936241805553,-0.0291921272874,-0.350140243769,-0.000977643416263
"2021/10/15 09:19:22",2.21025363783,-43.2125067341,-4.72068313942,0.929067194462,-0.0311872977763,-0.368583679199,0.00275429338217
"2021/10/15 09:19:53",3.13321332719,-45.6032368558,-5.43873089395,0.920972585678,-0.0331369824708,-0.388156235218,0.00679449411109
"2021/10/15 09:20:23",4.13733620045,-47.9783779772,-6.22269258369,0.912477493286,-0.0349017381668,-0.407490372658,0.0108780898154
"2021/10/15 09:20:53",5.27184828508,-50.412621581,-7.1152928667,0.903296411037,-0.036536552012,-0.427190512419,0.0151310442016
"2021/10/15 09:21:24",6.61128842708,-52.9991210277,-8.18107985371,0.893007993698,-0.0380692705512,-0.447994887829,0.0196977034211
